System_ID,Name,Website_Breadcrumb,Inode_Breadcrumb,Image,Website_name,Brand,Color
58dd32a0a0a1d1a0ce8ac2ad,"""NO.99 Boys Blue Printed Round Neck T-shirt""",Apparel > Topwear > Tshirts,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tshirts,"[""http://www.myntra.com/tshirts/no99/no99-boys-blue-printed-round-neck-t-shirt/1817625/buy"", ""http://developer.myntra.com/style/1817625""]",www.myntra.com,no.99,blue
5af01b69cbb28f3e7ff48761,"""Karigari Girls Red & Cream-Coloured Printed Kurta with Churidar & Dupatta""",Apparel > Apparel Set > Kurta Sets,Home > Fashion > Apparel > Ethnic Wear > Salwar Suit > Salwar Kameez,"[""http://www.myntra.com/kurta-sets/karigari/karigari-girls-red--cream-coloured-printed-kurta-with-churidar--dupatta/2868938/buy"", ""http://developer.myntra.com/style/2868938""]",www.myntra.com,karigari,red
5a3da41ad9877c30c8c9948c,"""Puma Men Pack of 3 Briefs 91876301""",Apparel > Innerwear > Briefs,Home > Fashion > Lingerie > Underwear (Men) > Boxers and Trunks,"[""http://www.myntra.com/briefs/puma/puma-men-pack-of-3-briefs-91876301/2356010/buy"", ""http://developer.myntra.com/style/2356010""]",www.myntra.com,puma,black
58f9d2b7f1eee779cc065f37,"""Vaamsi Women Rust Orange & Navy Printed Straight Kurta""",Apparel > Topwear > Kurtas,Home > Fashion > Apparel > Ethnic Wear > Kurtas and Kurtis,"[""http://www.myntra.com/kurtas/vaamsi/vaamsi-women-rust-orange--navy-printed-straight-kurta/1848900/buy"", ""http://developer.myntra.com/style/1848900""]",www.myntra.com,vaamsi,brown
5b22ac8607f090e515b8358a,"""Clarks Women Black Cedar Chest Pumps""",Footwear > Shoes > Heels,Home > Fashion > Footwear > Pump & Heels,"[""http://www.myntra.com/heels/clarks/clarks-women-black-cedar-chest-pumps/161615/buy"", ""http://developer.myntra.com/style/161615""]",www.myntra.com,clarks,black
5b12ee074d8b26f41a8611f5,"""Fashion By Ada Women White & Olive Green Printed A-Line Kurta""",Apparel > Topwear > Kurtas,Home > Fashion > Apparel > Ethnic Wear > Kurtas and Kurtis,"[""http://www.myntra.com/kurtas/fashion-by-ada/fashion-by-ada-women-white--olive-green-printed-a-line-kurta/6014297/buy"", ""http://developer.myntra.com/style/6014297""]",www.myntra.com,fashion by ada,white
5a7c2be4005cddc933e246c8,"""FCUK Men White Printed Hand Drawn Trunks M2AAJ""",Apparel > Innerwear > Trunk,Home > Fashion > Lingerie > Underwear (Men) > Boxers and Trunks,"[""http://www.myntra.com/trunk/fcuk/fcuk-men-white-printed-hand-drawn-trunks-m2aaj/1993274/buy"", ""http://developer.myntra.com/style/1993274""]",www.myntra.com,fcuk,white
593a6dab9397acc737c35faf,"""Cation Women Black & Red Printed Top""",Apparel > Topwear > Tops,Home > Fashion > Apparel > Topwear > Tshirts and Tops > Tops,"[""http://www.myntra.com/tops/cation/cation-women-black--red-printed-top/1911734/buy"", ""http://developer.myntra.com/style/1911734""]",www.myntra.com,cation,black
5a7849d8cb1a9961fdabffdb,"""Vero Moda Black A-Line Skirt""",Apparel > Bottomwear > Skirts,Home > Fashion > Apparel > Bottomwear > Skirts,"[""http://www.myntra.com/skirts/vero-moda/vero-moda-black-a-line-skirt/2391948/buy"", ""http://developer.myntra.com/style/2391948""]",www.myntra.com,vero moda,black
5ae02c39c1a4545cfb11cd9c,"""Mode by Red Tape Women Maroon Loafers""",Footwear > Shoes > Casual Shoes,Home > Fashion > Footwear > Slip-ons,"[""http://www.myntra.com/casual-shoes/mode-by-red-tape/mode-by-red-tape-women-maroon-loafers/5451950/buy"", ""http://developer.myntra.com/style/5451950""]",www.myntra.com,red tape,maroon
